block_id,device_type_id,block_name,file_name,create_date,update_date,logic_flg,deletable_flg
1,10,カテゴリ,category,"2021-04-20 16:22:50","2021-04-20 16:22:50",1,0
2,10,カゴの中,cart,"2021-04-20 16:22:50","2021-04-20 16:22:50",1,0
3,10,商品検索,search_product,"2021-04-20 16:22:50","2021-04-20 16:22:50",1,0
4,10,新着情報,news,"2021-04-20 16:22:50","2021-04-20 16:22:50",1,0
5,10,ログイン,login,"2021-04-20 16:22:50","2021-04-20 16:22:50",1,0
6,10,ロゴ,logo,"2021-04-20 16:22:50","2021-04-20 16:22:50",0,0
7,10,フッター,footer,"2021-04-20 16:22:50","2021-04-20 16:22:50",0,0
8,10,おすすめ商品,new_product,"2021-04-20 16:22:50","2021-05-17 13:50:23",0,0
9,10,フリーエリア,free,"2021-04-20 16:22:50","2021-04-20 16:22:50",0,0
10,10,ギャラリー,garally,"2021-04-20 16:22:50","2021-04-20 16:22:50",0,0
11,10,新着商品ブロック,plg_shiro8_new_product_block,"2021-05-12 14:48:05","2021-05-12 14:48:05",1,0
12,10,ギャラリーブロック,plg_shiro8_gallary_block,"2021-05-12 15:42:52","2021-05-12 15:42:52",1,0
