product_image_id,product_id,creator_id,file_name,rank,create_date
7,4,2,0512154358_609b792ead7fc.jpg,1,"2021-05-12 15:44:51"
8,4,2,0512154405_609b7935451ba.jpg,2,"2021-05-12 15:44:51"
9,4,2,0512154411_609b793b543da.jpg,3,"2021-05-12 15:44:51"
10,3,2,0512154609_609b79b154fb7.jpg,1,"2021-05-12 15:46:27"
11,3,2,0512154613_609b79b58c27f.jpg,2,"2021-05-12 15:46:27"
12,5,2,0513162110_609cd36626b11.png,1,"2021-05-13 16:21:21"
13,6,2,0513171944_609ce12030a82.png,1,"2021-05-13 17:21:16"
14,7,2,0517103121_60a1c76925bb5.png,1,"2021-05-17 10:31:26"
15,6,2,0517135421_60a1f6fd36a5d.png,2,"2021-05-17 13:54:30"
16,6,2,0517135428_60a1f70412b89.png,3,"2021-05-17 13:54:30"
17,5,2,0517135506_60a1f72aefebd.png,2,"2021-05-17 13:55:14"
18,5,2,0517135511_60a1f72f677d4.png,3,"2021-05-17 13:55:14"
19,7,2,0517135530_60a1f7423f80b.png,2,"2021-05-17 13:55:41"
20,7,2,0517135535_60a1f747aa129.png,3,"2021-05-17 13:55:41"
21,7,2,0517135538_60a1f74af05cd.png,4,"2021-05-17 13:55:41"
